essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total
1,1461913J,9,8,3,3,0,23
1,15207080,9,9,3,3,0,24
1,15209814,6,7,3,2,0,18
1,16625846,7,7,2,2,0,18
1,16623827,6,6,NC,NC,0,12
1,1663814J,9,6,3,3,0,21
1,1663828J,7,8,3,3,0,21
1,16639057,6,10,3,2,0,21
1,16625226,4,mu,3,2,5,14
1,16638913,mu,8,3,3,7,21
1,16639596,10,mu,3,3,8,24
1,14636050,mu,9,3,3,8,23
1,1664171J,mu,9,2,3,7,21
1,1563518J,6,mu,NC,3,4,13
1,15608417,mu,3,0,0,-1,2
1,15622231,mu,mu,2,2,13,17
1,15633683,mu,8,3,3,9,1
1,15636976,mu,7,3,3,7,20
2,14636077,8,mu,2,3,9,22
2,15623939,mu,8,3,3,6,13
2,15633101,9,mu,3,3,6,21
2,16636694,mu,mu,2,3,8,13
2,16639227,7,mu,3,3,8,12
2,16625145,mu,6,3,3,6,11
3,16207106,7,9,3,2,0,21
3,16641604,10,8,1,2,0,21
3,14633051,8,8,3,3,0,22
3,14633868,9,10,3,3,0,25
3,15637700,7,8,3,3,0,21
3,15636135,3,mu,3,3,4,13
3,16639251,mu,6,3,3,6,18
3,16640608,mu,mu,1,1,14,16
3,15637050,mu,mu,3,3,10,16
3,15638596,3,mu,3,3,4,13
3,14636263,mu,6,3,2,5,16
3,15635627,9,mu,3,3,10,25
3,1664011J,10,mu,3,2,10,25
3,16622758,5,mu,3,1,5,14
3,14636832,10,mu,3,3,8,24
4,16622782,10,10,3,1,0,24
4,15203980,7,8,3,3,0,21
4,15636135,mu,mu,2,3,0,5
4,15637174,mu,3,3,2,2,10
4,16641078,8,mu,3,3,0,14
4,16635906,8,mu,3,NC,9,20
4,15638596,mu,mu,3,3,-4,2
4,1562112J,7,mu,3,2,5,17
4,15608697,3,mu,1,2,3,6
5,16635108,8,10,3,2,0,23
5,16623428,9,10,1,1,0,21
5,15633780,10,7,3,3,0,23
5,14637596,7,10,3,3,0,23
5,15638928,6,6,3,2,0,17
5,16625846,7,7,3,3,0,20
5,1663537J,mu,8,3,2,9,22
5,15608697,mu,3,NC,NC,4,7
5,15639495,mu,7,NC,3,-2,8
5,14631733,mu,8,3,3,6,20
5,15637948,7,mu,3,3,6,19
5,15633675,mu,4,2,3,4,13
5,15623688,5,mu,3,3,3,14
5,14636263,9,mu,2,3,7,21
5,13637541,6,mu,3,3,7,19
6,11620684,7,3,3,1,-4,10
6,13622072,7,5,NC,NC,0,12
6,14634074,9,7,3,3,0,22
6,14636018,10,10,3,NC,0,23
6,14636077,9,10,3,3,0,25
6,15633136,6,6,NC,NC,0,12
6,15633349,10,9,NC,3,0,22
6,15633519,10,8,2,3,0,23
6,15633799,7,9,1,2,0,19
6,15634647,10,10,3,3,0,26
6,15638219,8,8,0,0,0,16
6,16622375,4,7,3,2,0,16
6,16622731,10,10,3,3,0,26
6,16623754,9,10,NC,3,0,22
6,16624025,7,6,2,NC,0,15
6,16625110,6,6,1,3,0,16
6,16636880,7,10,2,3,0,22
6,16639022,7,4,3,NC,0,14
6,16639804,9,8,NC,2,0,19
6,16640675,8,10,3,2,0,23
6,15636976,mu,7,3,3,5,18
6,15639495,5,mu,3,NC,3,11
6,14619245,7,mu,3,3,7,20
6,16638131,4,mu,1,3,5,13
6,16638549,6,mu,3,NC,8,17
6,16638913,10,mu,1,3,10,24
8,14632101,10,10,NC,3,,23
8,14636050,9,9,3,3,,24
8,15608697,6,7,3,3,,19
8,15622231,7,8,3,3,,21
8,14622904,mu,6,2,3,5,16
8,14636700,mu,9,3,3,7,22
8,15633683,8,mu,2,3,8,21
8,15633756,6,8,NC,3,,17
8,15633853,9,8,3,3,,23
8,15634884,7,7,NC,3,,17
8,1563518J,7,mu,3,3,6,19
8,15637298,10,9,3,3,,25
8,16623827,1,mu,3,3,-6,1
8,16624254,9,9,3,2,,23
8,16625447,6,5,2,3,0,16
8,16635418,9,10,3,3,0,25
8,16635590,10,10,3,NC,0,23
8,16636732,7,9,NC,2,0,18
8,16637399,8,8,3,3,0,22
8,1663828J,8,8,3,3,,22
8,16638549,9,9,3,2,0,23
8,16638581,7,6,3,3,0,19
8,16639022,7,7,3,2,0,19
8,16641604,10,8,3,3,0,24
8,1663537J,7,8,3,2,,20
8,1663991J,mu,6,3,3,6,18
8,16641205,mu,3,1,2,3,9
8,16636473,8,mu,3,2,6,19
8,15622509,mu,5,3,1,5,14
8,15634809,6,mu,3,3,6,18
9,14635208,1,3,3,3,0,10
9,15633675,8,3,NC,3,0,14
9,15637506,9,8,3,3,0,23
9,16639030,8,9,1,3,0,21
9,16639049,9,10,3,NC,0,22
9,16640608,9,9,2,1,0,21
9,16640721,6,9,3,1,0,19
9,15636224,9,10,3,3,0,25
9,15635937,8,8,3,3,0,22
9,16625544,mu,mu,3,3,10,16
9,15634876,8,mu,3,3,8,22
9,16622375,1,mu,2,0,-3,0
9,12620599,mu,6,2,3,-10,1
9,1663523J,mu,6,2,3,-10,1
9,16639022,mu,mu,2,3,8,13
9,16640993,4,mu,2,3,5,14
10,13622072,9,10,3,3,0,25
10,14632101,8,8,3,3,0,22
10,15203980,8,9,2,2,0,21
