essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total
1,13639021,5,MU,1,2,5,13,
1,15639401,MU,6,3,3,5,17,
1,16622561,MU,MU,3,2,7,12,
1,16635159,9,10,3,2,0,24,
1,16637968,7,9,0,3,0,19,"Considero que tu ensayo agrega valor y está bien fundamentado, sin embargo, debes mejorar tu redacción ya que no utilizas muchas comas. Por ejemplo, la frase ""es decir"", se escribe entre comas. Las frases que escribes son muy largas y esto genera confusión en la comprensión. 4+3+2=9"
1,1664042J,MU,0,3,0,-3,0,El ensayo tiene 484 palabras.
1,16640497,MU,0,3,3,-6,0,El ensayo tiene 583 palabras.
1,17201624,MU,MU,1,2,6,9,"Debes mejorar tu redacción. Te recomiendo colocar más puntos seguidos y separar las ideas a medida que vas escribiendo. No te centraste en responder las preguntas del enunciado del ensayo, por esto, no te puedo colocar todo el puntaje por ""agregar valor"". Tienes 10 o más faltas ortográficas. Un aspecto a destacar es que usaste de buena manera las lecturas. 2+3+1=6"
2,13637231,0,MU,0,3,-3,0,El Ensayo tiene menos de 500 palabras. Corregí solo el -1.
2,14633426,MU,MU,3,3,-6,0,No alcanza el mínimo de palabras
2,15621162,MU,8,3,3,3,17,"No cumple aspectos formales (mínimo de palabras y referencias bibliográficas en formato APA), la mayor parte del ensayo son definiciones de conceptos, falta agregar valor más alla de las lecturas"
2,1562448J,7,MU,3,2,7,19,
2,16637143,10,10,3,2,0,25,"Muy buen ensayo, genera valor y no se queda solo en ejemplos de los textos, lo mezcla y genera ideas novedosas alrededor de ello."
2,16637259,MU,MU,3,3,2,8,"No cumple aspectos formales (mínimo de palabras, faltas de ortografía, referencias en APA), buenos ejemplos de los conceptos, sin embargo, falta agregar ideas propias al ensayo"
2,16637658,5,MU,3,3,4,15,"0 puntos por aspectos formales (pues hay citas no especificadas y no cumple con la extensión). 1 punto en agregar valor pues no presenta posturas propias con respecto al tema a tratar (solo dedica tiempo a explicar posturas del resto con respecto al tema). 3 puntos en fundamentación pues sí se encarga de incluir la cantidad mínima de textos requeridos. Como observación general: tratar de estructurar de mejor forma el ensayo (contextualización, argumentos a favor, argumentos en contra y conclusión) e incluir elementos que sean propios de tú visión sobre el tema para complementar ideas"
2,16637968,8,9,3,3,0,23,"Buen ensayo, incorpora ejemplos asociados a las lecturas y agregando ideas y conclusiones propias. Descuento por aspectos formales"
2,16640470,MU,6,3,3,7,19,"Primero que todo, felicitaciones por la idea innovadora de plantearse frente al desafío de escribir. Ahora bien, con respecto a lo formal, hay aspectos de la fundamentación que parecen forzados (cuando integras el absortive capacity, por ejemplo) y otras donde, para la forma en que está escrito, la cita perjudica la comprensión (¿es parte del texto?). Si repites la idea de escritura, trata de estructura de una forma en que se pueda entender el contexto, tu opinión y además los conceptos (un desafío bien grande, ¡pero dale!)."
2,17638208,9,6,3,3,0,21,"Comentario general: el problema principal es que no te dedicas a presentar un punto de vista con respecto a un tema polémico, sino que desarrollas una especie de resumen sobre el tema a tratar. Debes tratar de obviar la parte de la descripción de los contenidos porque puedes asumir que tus compañeros también leerán las lecturas mínimas. Intenta agregarle un valor personal (opinión, postura) sobre lo que intentas hablar; para así hacerlo más intersante al leer y menos teórico. Agrega valor: 1 punto; fundamentación: 2 puntos; aspectos formales: 3 puntos."
4,12624349,6,MU,3,3,6,18,
4,15635228,7,7,3,3,0,20,
4,15635678,8,8,2,3,0,21,
4,15639088,MU,5,NC,3,-7,1,
5,15621146,MU,MU,3,2,10,15,"Mejorar la redacción, sobre todo usar más puntos seguidos porque hace muy difícil la lectura y finalmente no se entiende bien la idea que quiere expresar. Faltan también un par de conceptos para agregarle más valor al ensayo. AV: 2; F: 2; AF: 1"
5,15622509,8,9,3,3,0,23,
5,15639126,6,MU,3,2,5,16,
5,15639746,MU,MU,2,3,3,8,"En primer lugar,  no cumple con lo pedido en el enunciado de la semana. Además, solo utiliza una lectura y más bien se da a entender que hace una especie de resumen de ella. Recomendaría incluir más apreciación personal (puntos de vistas, experiencias personales) sobre lo que se pide, para hacerlo más entretenido de leer. Lo positivo: tiene buena redacción y, por lo tanto, hay potencial para hacer mucho más. "
5,16637607,MU,8,3,3,8,22,
5,16640535,4,MU,3,2,4,13,
5,17643139,7,7,2,3,0,19,
7,16622308,8,8,3,2,0,21,
7,16635361,8,MU,3,3,8,22,
7,16637259,9,10,3,3,0,25,
7,1663764J,9,9,3,3,0,24,
7,16638727,8,7,3,2,0,20,
7,17636809,9,9,0,3,0,21,
7,17640202,9,9,3,3,0,24,
7,17643139,10,10,0,0,0,20,
8,14620952,3,MU,0,0,-2,0,
8,14633426,8,8,3,1,0,12,
8,14636328,10,8,3,3,0,16,
8,15621146,9,MU,3,3,4,18,
8,15639142,7,7,3,2,0,12,
8,15639401,8,7,2,2,0,12,
8,16636015,MU,MU,3,3,2,0,
8,16638360,MU,7,3,3,7,12,
8,16640268,7,8,3,3,0,13,
8,17637481,9,7,3,3,0,15,
8,17640202,8,8,3,3,0,14,
8,17641632,7,7,3,3,0,13,
