essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total,comments
1,14632624,9,MU,3,3,8.5,23.5,"Es un muy buen texto, dinámico, rápido de leer y que responde al enunciado propuesto. Tienes una buena tesis y un correcto desarrollo de argumentos. Tienes mínimos errores de ortografía y uso de mayúsculas y comas, que debes solucionar para las próximas entregas. Es lamentable que no cumplieras con el mínimo de palabras solicitadas ni la correcta referenciación en APA a lo largo del texto (debes señalar el autor y el año, no solo el nombre). Fuera de todo esto, muy buen trabajo ¡Felicitaciones!"
1,15633365,MU,6.5,2,3,6,17.5,"Me parece interesante a forma en la cual desarrollas el texto a través de preguntas que vas respondiendo, pero lamentablemente no logras conectar ideas ni mantener un hilo conductor claro. El proceso de contextualización es vago y no hay una conclusión que permita cerrar el texto y englobar las ideas que vas plasmando en él. A los argumentos les falta comunicarse entre si y la conexión que haces con los contenidos del curso es bastante superficial, es necesario mayor énfasis en estas herramientas. Hay uno que otro problema asociado a la ortografía, léxico y uso de conectores. En sí es un escrito que en su génesis resulta ser una idea muy atractiva, pero que no logró concretarse a cabalidad."
1,15633438,MU,9,1,1,8.5,19.5,"En rasgos generales tu escrito es muy interesante de leer. Explícitaste la tesis y diste una conclusión correcta. Además agregaste valor y diste un análisis profundo sobre los temas que ibas tratando. Debes tener cuidado en la ortografía ya que hay pequeños errores y en la extensión de tus párrafos. Tienes párrafos demasiado extensos que cuesta entender, no porque en cuanto a contenido esten mal, sino que tantas ideas mezcladas solo en un  párrafo inducen a la confusión al momento de que el lector se enfrenta a tus argumentos. Fuera de todo ello, ¡Buen trabajo!"
1,16637224,8.5,MU,3,3,9.5,24,"Tu ensayo es muy bueno, solo hay un par de errores ortográficos que debe corregir. Es muy interesante la forma en la que abordaste el tema, con una introducción y una tesis clara, un desarrollo con argumentos sólidos y una conclusión redonda, ¡Buen trabajo!"
1,17624061,MU,6,3,3,6,18,"Hay errores ortográficos, en el uso de signos de puntuación y en la conexión de ideas que dificultan mantener una lectura fluida. Debes tener precaución con la distribución de información dentro del texto, ya que hay párrafos excesivamente largos que tienen más de una idea contenida en ellos. Falta explícitar la tesis y dar mayor cohesión entre los argumentos que presentas para que las ideas sean más fáciles de entender. La conclusión debe agregar mayor valor al texto y dar un cierre redondo. Debes citar en formato APA el apartado de referencias."
1,17624266,8,MU,3,2,8.5,21.5,"Es un muy buen ensayo, rápido de leer y que interpela al lector y lo invita a reflexionar. Hay errores ortográficos y de puntuación, especialmente en el uso de comas. Te recomiendo escribir párrafos menos extensos ya que así puedes plasmar una idea principal en cada uno de ellos y es mas fácil mantener el hilo conductor. Falto un poco de desarrollo entre la conexión de los dos focos que postulaste en tu tesis, ya que los abordaste de manera aislada y no profundizaste en la relevancia de su conjunto. Fuera de ello es un escrito muy interesante y con una buena conclusión, ¡Buen trabajo!"
1,17624525,MU,7,3,3,7.5,20.5,"Es un buen ensayo en rasgos generales. Hay pequeños errores ortográficos que debes corregir para tus próximas entregas, además de mejorar la conexión entre ideas, especialmente cuando saltas de un párrafo a otro. Si bien es cierto das tus argumentos y contraargumentos, hay ocasiones en las que falta mayor chesión entre ellos. Falta desarrollar con más fuerza los contenidos del curso y no solo describirlos o mencionarlos, sino que darles un real desarrollo de manera tal que sean una base firme para sustentar las ideas que vas postulando a lo largo del texto."
1,17624770,MU,8.5,3,3,7,21.5,"Tener en cuenta los formatos que se exigen para un ensayo, están bien usadas la citas, pero recordar de usar formato APA. Tener ojo con la ortografía y redacción. Buenos argumentos  y conclusión."
1,1762486J,MU,MU,3,3,16,22,"Hay muchos detalles ortográficos en los que debes trabajar para tus próximas entregas (sumado a ello, debes decidir si luego de cada párrafo vas a colocar salto de línea o no,  estos detalles no son evaluados pero te recomiendo ser consistente en el formato de tus documentos tanto para este ramo como para otros). Hay un problema en la distribución de ideas a lo largo del texto que provoca ciertos momentos de confusión al intentar mantener un hilo conductor, esto debido a que en párrafos tan largos hay más de una idea principal. La tésis es necesario explicitarla, ya que si bien es cierto se puede inferir, debido a la gran cantidad de información que manejas en tu escrito es muy fácil que esta tienda a la ambigüedad y nuevamente confunda al lector. Falta profundizar en el contraargumento. Fuera de ello es un buen ensayo, se valora el aporte de puntos de vistas personales y el análisis realizado en los contenidos del curso como una herramienta para reafirmar las ideas que ibas planteando. ¡Buen trabajo!"
1,17625661,MU,9,3,2,8,22,"Errores del formato APA, buenas ideas, en la conclusión faltó proyectar el tema, no hay que hacer un resumen de lo ya mencionado. "
