essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total,comments
1,14619997,9,MU,3,3,7,22,"Tener en cuenta los formatos que se exigen para un ensayo, están bien usadas la citas, pero recordar de usar formato APA. Tener ojo con las reglas de los ensayo. Buena conclusión para cerrar las ideas."
1,15608719,MU,9,3,3,8,23,"Tener en cuenta los formatos que se exigen para un ensayo, están bien usadas la citas, pero recordar de usar formato APA. Tener ojo con las reglas de los ensayo."
1,15623572,MU,9,3,3,9,24,"Muy buen ensayo, tener ojo en la redacción para que se entiendan mejor las ideas, me gusto el párrafo de las “Habilidades blandas” y como la escuela de Ingeniería tiene esto en sus metas."
1,15638464,MU,9.5,3,3,8.5,24,"Muy buen ensayo, tener ojo en la redacción para que se entiendan mejor las ideas, tal vez separa más los párrafos. Hay que mejorar mas la conclusión para cerra bien las ideas."
1,16607341,MU,5.5,3,3,6,17.5,"Tener en cuenta los formatos que se exigen para un ensayo, están bien usadas la citas, pero recordar de usar formato APA. Tener ojo con las reglas de los ensayos. Hay que mejorar la conclusión e intentar poner alguna reflexión mas personal."
1,16607716,6,8,3,2,0,19,"Hay que mejorar la conclusión e intentar poner alguna reflexión más personal. Tener en cuenta los formatos que se exigen para un ensayo, están bien usadas la citas, pero recordar de usar formato APA"
1,16623568,8.5,MU,3,2,7,20.5,"Tener en cuenta los formatos que se exigen para un ensayo, están bien usadas la citas, pero recordar de usar formato APA. Tener ojo con las reglas de los ensayos.Hay que mejorar mas la conclusión para cerra bien las ideas."
1,16624157,9.5,MU,2,3,9.5,24,"Excelente ensayo, muy buena redacción. Aportas varios argumentos de valor, relacionas bien los contenidos y ocupas de forma apropiada las lecturas. Te faltó el apartado de referencias bibliográficas."
1,16635647,8,MU,3,3,9.5,23.5,"Muy buen ensayo, desarrollas bien las ideas cumples con los aspectos formales, muy buena redacción y bien citado. Aportas varias ideas de valor. Hay faltas de ortografía."
1,16638182,9,6.5,3,3,0,21.5,"Muy buena redacción, algunas faltas de ortografía. Se nota que leíste los textos y los vinculaste con tu propia experiencia, formando tus propios argumentos de valor. Vinculaste varias ideas entre textos muy bien. Pudiste haber sido más explícito entre lo que presentas por tesis y lo que concluyes. Ocupas formato APA bien."
1,16638425,5.5,MU,3,3,5,16.5,"Deberías leer la pauta de los ensayos, la idea es establecer tesis y desarrollar argumentos, no hacer un resumen de los textos y dar opiniones de ellos. Carece de tesis, conclusión, no hay una zona de referencias bibliográfica y hay faltas de ortografía. A pesar de no refutar alguna tesis, te di el puntaje correspondiente a argumentos, fundamentación y novedad, creatividad y aprendizaje, porque demuestras que leíste y aprendiste de las lecturas."
1,16638999,8,7.5,0,0,0,15.5,"Buen título, después de terminar la lectura del ensayo hace mucho sentido. Supiste vincular las ideas que querías transmitir con las lecturas muy bien, estas se complementan. No me quedó muy clara la tesis, o, más bien, la vinculación entre la tesis y la conclusión. No citaste en APA, ni hay referencias bibliográficas."
1,1664008J,9,9.5,2,3,0,23.5,"Recuerda hacer más citas para apoyarte de los textos, úsalos para mejorar las ideas. Muy buenas reflexiones y me gusto mucho la conclusión."
