essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total,comments
1,12636932,MU,"2,5",2,3,"-7,5",0,No subo puntaje ya que el ensayo tiene menos de 300 palabras.
1,12637432,MU,MU,1,3,-4,0,No subo puntaje ya que contiene menos de 900 palabras.
1,15624161,MU,MU,3,3,16,22,"Tiene 986 palabras, lo corrijo. Posee un par de faltas de ortografía, no es bueno poner intro y conclusion explicitamente. Le pongo 8+8=16 pts"
1,15635341,MU,"4,5",3,3,"-10,5",0,"No le subo, tiene 715 palabras, 0 pts."
1,15639045,MU,"5,5",2,2,4,"13,5","Ensayo tiene buen contenido, pero no toma en consideración lo pedido en el enunciado. Además, no haces referencias a toda la bibliografía mínima, hay varios errores de redacción y ortografía y la cita a Aristóteles está mal hecha. Con respecto a la ortografía y redacción, te recomiendo usar el revisor de word, es bastante útil. Para citar bien, en el SIBUC hay un tutorial completo."
1,16210336,MU,2,3,2,-6,1,
1,1662503J,8,"9,5",3,3,0,"23,5","Muy buen ensayo; muy buena redacción y estructura. Sin embargo, no tiene tesis, o no por lo menos una identificable y defendible con el tipo de argumentos que elegiste. Como recomendación, la argumentación autorreferente va bien con una tesis autorreferente, pero no se recomienda simplemente declarar que se va a hacer una narración de las experiencias personales si esto no apoya un punto concreto en el ensayo. Además de esto, no planteas un contraargumento."
1,1663795J,"7,5",9,3,2,0,"21,5","Buen ensayo en cuanto a contenido, pero no tienes una tesis clara, me fue muy difícil lograr encontrarla, intenta dejarla más explicita para tus siguientes ensayos. Busca más sinónimos al momento de redactar, debido a que hay palabras que usas muy seguido. Tienes varios errores de puntuación y gramática, te recomiendo que le pidas a alguien que lea tu ensayo para ayudarte en este punto."
1,16639448,10,10,2,3,0,25,"Está perfecto este ensayo la verdad. Lo único que te recomendaría sería usar la sangría francesa en las referencias bibliográficas, ya que esta es parte también del formato APA. No obstante, no sentí que esta fuera una gran razón para un descuento ya que el ensayo está muy bien justificado y citado."
1,16639855,6,7,3,2,0,18,"El ensayo está bueno en general, el contenido y la forma en que está hecho te mantiene la atención del lector. Por otro lado, tiene muchas faltas de ortografía que puedes mejorar usando el corrector de Word. Además, no logré identificar un contraargumento. Falta mejorar al momento de citar en APA, ya que te faltó la cita corta en paréntesis que debe ir en cada texto. Por último, la conclusión esta buena pero te recomiendo no cortarla en varios párrafos si vas a seguir con la misma idea. "
